latitude,longitude,resolved_locality
23.8251,90.4389,Bashundhara Residential Area
23.819988,90.430469,Bashundhara Residential Area
23.82007,90.42815,Kuril
23.8765,90.38,Nalbhog
23.864391,90.395874,Uttara
23.8384,90.3709,Mirpur Cantonment
23.778943,90.368528,Shyamoli
23.81446,90.41478,Joar Sahara
23.7935,90.3736,Shewrapara
23.7945,90.3608,Ahmed Nagar
23.778,90.36245,Kallyanpur
23.8038,90.38239,Senpara Porbota
23.8103,90.3635,Mirpur
23.81892,90.35689,Pallabi
23.7772,90.3667,Shyamoli
23.80696,90.37921,Senpara Porbota
23.7949,90.3817,Ibrahimpur
23.806463,90.355273,Borobagh
23.80807,90.3554,Borobagh
23.77849,90.36782,Shyamoli
23.7871,90.3631,Paikpara
23.7144,90.4017,Armanitola
23.734458,90.385685,Shahbag
23.71921,90.38205,Lalbag
23.7194,90.3899,Lalbag
23.79786,90.43222,Bhatara
23.8147,90.4437,Bashundhara Residential Area
23.818,90.4448,Bashundhara Residential Area
23.7671,90.4212,Rampura
23.7654,90.4152,Rampura
23.812389,90.430387,Solmaid
23.7667,90.4282,Aftabnagar
23.74587,90.40599,Mogbazar
23.74519,90.40637,Shiddheswari
23.74534,90.40656,Shiddheswari
23.7564,90.41387,Noyatola
23.7271,90.3728,Pilkhana
23.754971,90.409472,Noyatola
23.75666,90.41476,Noyatola
23.7332,90.3838,Pilkhana
23.7954,90.4277,Shahjadpur
23.795718,90.431799,Nurer Chala
23.76649,90.41344,Noyatola
22.4493,89.5481,
22.45744,89.54549,
22.1935,92.2143,Maddhampara
22.12616,92.14975,
22.104,92.0305,
22.115424,92.012332,
22.91334,90.80734,
22.975,90.94,
24.02638,90.99625,
22.3637,91.8,Khulshi
22.3571,91.82722,Nasirabad
22.36298,91.82796,
22.3669,91.8291,
22.37806,91.85498,
22.3563,91.8107,Khulshi
22.34829,91.81825,
22.36432,91.799689,Khulshi
22.36037,91.82105,Amirbag Abashik Alaka
22.4376,91.7509,Bhatiari
22.3297,91.802,Agrabad
22.3622,91.8176,
22.35711,91.81085,Khulshi
22.356013,91.82723,Amirbag Abashik Alaka
22.357447,91.82722,Nasirabad
22.2279,91.8438,
22.376781,91.849646,
22.34081,91.83539,Jamalkhan
22.362334,91.812485,Khulshi
22.3593,91.8124,Khulshi
22.3625,91.8222,Nasirabad
22.3573,91.8186,Khulshi
22.3659,91.8137,Khulshi
22.3574,91.8119,Khulshi
22.3606,91.8265,Nasirabad
22.3567,91.8105,Khulshi
22.3616,91.8126,Khulshi
22.35523,91.82956,Amirbag Abashik Alaka
22.35106,91.8212,
22.37972,91.85693,
22.338211,91.780813,HaliShohor
22.2499,91.8178,
22.3613,91.8235,Nasirabad
22.3635,91.784,Khulshi
22.36773,91.79995,Khulshi
22.35248,91.82221,Amirbag Abashik Alaka
22.3549,91.8221,Amirbag Abashik Alaka
22.33483,91.81326,Agrabad
22.33021,91.84645,
22.35969,91.82221,Nasirabad
22.32267,91.8111,Agrabad
22.37342,91.7853,Khulshi
22.3599,91.822,Nasirabad
22.35281,91.82234,Amirbag Abashik Alaka
22.37949,91.81575,Khulshi
22.38755,91.83351,Oxygen
22.35091,91.82111,
22.3567,91.86415,
22.3635,91.7838,Khulshi
22.35014,91.81678,
22.35511,91.82477,Amirbag Abashik Alaka
22.3538,91.7668,HaliShohor
22.3516,91.82243,Amirbag Abashik Alaka
22.36692,91.82988,
22.3477,91.78513,HaliShohor
22.3619,91.8016,Khulshi
22.3813,91.8496,
22.34618,91.83611,Jamalkhan
22.33333,91.8204,Agrabad
22.33313,91.82192,Agrabad
22.37736,91.84593,
22.36243,91.79979,Khulshi
21.409735,91.988383,Hotel Motel Zone
21.2317,92.0496,Ukhia Upazila
21.413713,91.98243,Hotel Motel Zone
21.40806,91.991167,Hotel Motel Zone
21.438812,91.977254,Hotel Motel Zone
21.428127,92.005257,Hotel Motel Zone
21.4283,92.00489,Hotel Motel Zone
21.4399,91.9765,Hotel Motel Zone
21.440551,91.970677,Hotel Motel Zone
21.41795,91.98379,Hotel Motel Zone
21.358523,92.023719,Ramu Upazila
21.423536,91.980949,Hotel Motel Zone
21.4187,91.983,Hotel Motel Zone
21.28229,92.07599,Ukhia Upazila
21.425984,91.979797,Hotel Motel Zone
21.4238,91.9811,Hotel Motel Zone
21.407932,91.988254,Hotel Motel Zone
21.42786,92.00666,Cox's Bazar Sadar Upazila
21.4242,91.97901,Hotel Motel Zone
21.356683,92.022494,Ramu Upazila
21.418627,91.991941,Hotel Motel Zone
21.411938,91.989766,Hotel Motel Zone
21.407636,91.988428,Hotel Motel Zone
21.42148,91.98319,Hotel Motel Zone
21.4161,91.9858,Hotel Motel Zone
21.236613,92.048953,Ukhia Upazila
21.21513,92.04914,Ukhia Upazila
21.4262,91.9792,Hotel Motel Zone
21.40964,91.987566,Hotel Motel Zone
21.424646,92.002833,Cox's Bazar Sadar Upazila
21.4161,91.9851,Hotel Motel Zone
21.23739,92.05018,Ukhia Upazila
21.4245,91.9758,Hotel Motel Zone
,,
22.3642,91.7989,Khulshi
22.3651,91.7994,Khulshi
22.363458,91.807989,Khulshi
21.42636,92.00669,Cox's Bazar Sadar Upazila
21.2636,92.0909,Ukhia Upazila
21.42039,91.98304,Hotel Motel Zone
21.42606,92.00609,Cox's Bazar Sadar Upazila
21.4163,91.98489,Hotel Motel Zone
21.426,91.9758,Hotel Motel Zone
21.42422,91.98175,Hotel Motel Zone
21.42701,91.97576,Hotel Motel Zone
21.4087,91.9888,Hotel Motel Zone
21.407754,91.989186,Hotel Motel Zone
21.40783,91.988978,Hotel Motel Zone
21.4161,91.9853,Hotel Motel Zone
21.42641,91.9784,Hotel Motel Zone
21.42036,92.00122,Cox's Bazar Sadar Upazila
21.41808,92.01088,Cox's Bazar Sadar Upazila
21.28467,92.05565,Ukhia Upazila
21.4191,91.984,Hotel Motel Zone
21.41588,91.9847,Hotel Motel Zone
21.416321,91.985893,Hotel Motel Zone
21.42843,91.97979,Hotel Motel Zone
21.23123,92.05473,Ukhia Upazila
21.4434,91.9687,Hotel Motel Zone
21.4201,91.9833,Hotel Motel Zone
21.42524,91.98016,Hotel Motel Zone
21.4235,91.9814,Hotel Motel Zone
21.42677,91.97823,Hotel Motel Zone
21.4164,91.9865,Hotel Motel Zone
21.408419,91.989671,Hotel Motel Zone
21.416,91.9858,Hotel Motel Zone
21.416,91.9851,Hotel Motel Zone
21.41642,91.98536,Hotel Motel Zone
21.41976,91.98376,Hotel Motel Zone
21.42415,91.98028,Hotel Motel Zone
21.42563,91.97807,Hotel Motel Zone
21.41565,91.98456,Hotel Motel Zone
21.42556,91.97988,Hotel Motel Zone
21.4262,91.9763,Hotel Motel Zone
21.44117,91.98487,Hotel Motel Zone
21.42644,91.97849,Hotel Motel Zone
21.42561,91.97962,Hotel Motel Zone
21.41507,91.98531,Hotel Motel Zone
21.42539,91.97848,Hotel Motel Zone
21.42715,91.97868,Hotel Motel Zone
21.42253,91.98043,Hotel Motel Zone
21.42655,92.00656,Cox's Bazar Sadar Upazila
21.4165,91.9853,Hotel Motel Zone
21.422,91.9817,Hotel Motel Zone
23.8757,90.3885,Uttara
23.86523,90.386,Uttara
21.4261,91.9761,Hotel Motel Zone
