listing_link,Title,Ratings,Main_Bedroom,Main_Beds,Main_Baths
https://www.airbnb.com/rooms/39170133?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221299_P3XAyaFKv3wi_CuO&previous_page_section_name=1000&federated_search_id=f26a2cd2-7e17-4722-a448-29eebcb4c611,Hotel In Barguna ,, 6  , 6  , 6 
https://www.airbnb.com/rooms/46657875?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221299_P34K4CTeR__1LESQ&previous_page_section_name=1000&federated_search_id=f26a2cd2-7e17-4722-a448-29eebcb4c611,Hotel In Swarupkathi ,, 16  , 25  , 8 
https://www.airbnb.com/rooms/1064066672767512152?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221299_P3d26ZX_DZDyW4XS&previous_page_section_name=1000&federated_search_id=f26a2cd2-7e17-4722-a448-29eebcb4c611,Home In Barabaria ,, 2  ,, 1 
https://www.airbnb.com/rooms/1169061941595953413?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223063_P3dKCF2FuN6WxPpe&previous_page_section_name=1000&federated_search_id=6e8dc079-a184-41d6-afc3-1da2964d3e93,Home In Dhaka , New , 1  ,, 1 
https://www.airbnb.com/rooms/1152972150764520095?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223067_P3akmFhBBSumeaxQ&previous_page_section_name=1000&federated_search_id=5ff5dddb-bfe5-4b73-ad16-9108fd02c240,Rental Unit In Dhaka , New , 1  , 2  , 1 
https://www.airbnb.com/rooms/964817903289428204?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-20&check_out=2024-06-25&source_impression_id=p3_1718223067_P31m2z5IyS_OZo9m&previous_page_section_name=1000&federated_search_id=5ff5dddb-bfe5-4b73-ad16-9108fd02c240,Rental Unit In Dhaka , 4.56 , 2  , 2  , 2 
https://www.airbnb.com/rooms/696724500638414778?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718223072_P3niPixm0pni3kl2&previous_page_section_name=1000&federated_search_id=4182d6fe-f4a4-425e-ace0-c0aeb0ed2874,Serviced Apartment In Dhaka , 4.33 , 1  , 2  , 1 
https://www.airbnb.com/rooms/628691820134118220?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-21&source_impression_id=p3_1718223073_P3a5tkcqceZZPwqN&previous_page_section_name=1000&federated_search_id=4182d6fe-f4a4-425e-ace0-c0aeb0ed2874,Condo In Dhaka , 4.63 , 5  , 5  , 4.5 
https://www.airbnb.com/rooms/48797464?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221303_P3tIwEE4Sys05MDT&previous_page_section_name=1000&federated_search_id=95e21e13-5e23-4e97-bd63-642b36b48591,Rental Unit In Faridpur ,, 2  , 2  , 1 
https://www.airbnb.com/rooms/29948496?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-20&source_impression_id=p3_1718221303_P39hNkxzDxzEhJP1&previous_page_section_name=1000&federated_search_id=95e21e13-5e23-4e97-bd63-642b36b48591,Home In Faridpur Sadar Upazila ,, 2  , 2  , 2 
https://www.airbnb.com/rooms/728409960432360540?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-20&check_out=2024-06-25&source_impression_id=p3_1718221303_P3tcG9uGiFMhlIJW&previous_page_section_name=1000&federated_search_id=95e21e13-5e23-4e97-bd63-642b36b48591,Villa In ??????? ???? ,, 4  , 4  , 3.5 
https://www.airbnb.com/rooms/724546107802158197?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1502108522&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718221303_P3qbVt3NcGzXuZLS&previous_page_section_name=1000&federated_search_id=95e21e13-5e23-4e97-bd63-642b36b48591,Home In Ataikula ,, 1  ,, 1.5  
https://www.airbnb.com/rooms/1084790875614619116?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718221303_P3xHT3hjLK3loZcd&previous_page_section_name=1000&federated_search_id=95e21e13-5e23-4e97-bd63-642b36b48591,Rental Unit In Goalanda ,, 2  , 2  , 1 
