location,listing_link,base_urls
Gulshan,https://www.airbnb.com/rooms/53566106?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718222809_P3lRZpV-0GX7UvBN&previous_page_section_name=1000&federated_search_id=33a064cf-88db-4bba-8d09-f146d63924d8,https://www.airbnb.com/rooms/53566106
Gulshan,https://www.airbnb.com/rooms/1129067591033768939?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1877839542&search_mode=regular_search&check_in=2024-07-28&check_out=2024-08-02&source_impression_id=p3_1718222809_P3DLw0LpguBLpSqs&previous_page_section_name=1000&federated_search_id=33a064cf-88db-4bba-8d09-f146d63924d8,https://www.airbnb.com/rooms/1129067591033768939
Gulshan,https://www.airbnb.com/rooms/941312140205233649?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-16&check_out=2024-06-21&source_impression_id=p3_1718222809_P38D013H5Hx-zHYo&previous_page_section_name=1000&federated_search_id=33a064cf-88db-4bba-8d09-f146d63924d8,https://www.airbnb.com/rooms/941312140205233649
Gulshan,https://www.airbnb.com/rooms/498135714181523700?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718222809_P3UPophDvdKtHK_W&previous_page_section_name=1000&federated_search_id=33a064cf-88db-4bba-8d09-f146d63924d8,https://www.airbnb.com/rooms/498135714181523700
Gulshan,https://www.airbnb.com/rooms/714839212044760625?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718222809_P3VMSm1CXzQK5I-5&previous_page_section_name=1000&federated_search_id=33a064cf-88db-4bba-8d09-f146d63924d8,https://www.airbnb.com/rooms/714839212044760625
Gulshan,https://www.airbnb.com/rooms/731765223320023205?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-18&source_impression_id=p3_1718222809_P3xNLbosHXo_9-GW&previous_page_section_name=1000&federated_search_id=33a064cf-88db-4bba-8d09-f146d63924d8,https://www.airbnb.com/rooms/731765223320023205
Gulshan,https://www.airbnb.com/rooms/853833541690950778?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-24&check_out=2024-06-29&source_impression_id=p3_1718222809_P3fkAEEbdDEzIv8u&previous_page_section_name=1000&federated_search_id=33a064cf-88db-4bba-8d09-f146d63924d8,https://www.airbnb.com/rooms/853833541690950778
Gulshan,https://www.airbnb.com/rooms/802550470610096188?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1829296206&search_mode=regular_search&check_in=2024-06-17&check_out=2024-06-22&source_impression_id=p3_1718222809_P3MA1tAIIsT9L1_8&previous_page_section_name=1000&federated_search_id=33a064cf-88db-4bba-8d09-f146d63924d8,https://www.airbnb.com/rooms/802550470610096188
Gulshan,https://www.airbnb.com/rooms/1173641166393355803?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-06-13&check_out=2024-06-20&source_impression_id=p3_1718222809_P3EZx11eqQkSxTzO&previous_page_section_name=1000&federated_search_id=33a064cf-88db-4bba-8d09-f146d63924d8,https://www.airbnb.com/rooms/1173641166393355803
Gulshan,https://www.airbnb.com/rooms/52545298?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1552442460&search_mode=regular_search&check_in=2024-06-14&check_out=2024-06-19&source_impression_id=p3_1718222809_P3KHIQXL6bl5km66&previous_page_section_name=1000&federated_search_id=33a064cf-88db-4bba-8d09-f146d63924d8,https://www.airbnb.com/rooms/52545298
